d,n_train,seed,noise_frac,sigma,tau_true,A_hat,tau_hat,G_dagger,G_star,fits,rmse,G_bullet,A_anchor,tau_target,A_ratio,tau_ratio,delta_proxy
20,2400,6,0.1,0.0655676307566932,0.00429911420304606,0.24582063963174447,0.0041926754756692105,3.3714912303594637,15,7,0.025916643409320053,3.386757353058654,0.25402328895752446,0.004159949323775434,0.9677090657339235,1.0078669592696083,1.0898066776755203e-08
20,2400,7,0.1,0.06608278162253799,0.004366934026972045,0.28122039523643727,0.004283255121271092,3.4141506331926808,15,7,0.028727041503759973,3.386757353058654,0.25402328895752446,0.004159949323775434,1.1070654048710489,1.0296411777881345,3.3652422003850385e-08
20,2400,8,0.1,0.06034336340992028,0.003641321507621706,0.2405080488486559,0.00357584149558712,3.423315724248677,15,7,0.025943874572968786,3.386757353058654,0.25402328895752446,0.004159949323775434,0.9467952715503638,0.8595877539060508,5.941050203300802e-08
20,2400,9,0.1,0.06670673997095201,0.004449789157552207,0.31610120272399606,0.004464984506289245,3.4428628837698465,15,7,0.02923250221820717,3.386757353058654,0.25402328895752446,0.004159949323775434,1.2443788284973025,1.073326658276926,1.373370825882305e-07
20,2400,10,0.1,0.0667057628650533,0.004449658799408723,0.3087079043096106,0.0046796500446925305,3.4159518007270084,15,7,0.02908014530846659,3.386757353058654,0.25402328895752446,0.004159949323775434,1.2152740230098746,1.1249295797780134,3.8156858219557614e-08
20,2400,11,0.1,0.0638004240572655,0.004070494109886903,0.2818254244482829,0.003981714087323689,3.4427782410919856,15,7,0.02617351776766614,3.386757353058654,0.25402328895752446,0.004159949323775434,1.1094471912589372,0.9571544693025288,1.3693402112953672e-07
20,2400,12,0.1,0.059757863628718204,0.003571002265468482,0.2281135295094177,0.003647412894232756,3.3957638490477877,15,7,0.024056129939783684,3.386757353058654,0.25402328895752446,0.004159949323775434,0.898002425075131,0.8767926266280771,3.70347471065997e-09
20,2400,13,0.1,0.06531974532862558,0.004266669129796504,0.24446652140305566,0.004464248139045325,3.3460075932651256,15,7,0.026228804506152004,3.386757353058654,0.25402328895752446,0.004159949323775434,0.9623783803694204,1.0731496447638742,7.965870531690539e-08
20,2400,14,0.1,0.06765241584683017,0.0045768493699124375,0.22573312295896109,0.004607518934470757,3.3048784275596725,15,7,0.027158860673769852,3.386757353058654,0.25402328895752446,0.004159949323775434,0.8886316049419634,1.1075901593650002,3.354427445945293e-07
20,2400,15,0.1,0.06518745690440735,0.004249404537663965,0.28962753225378324,0.004295480539245005,3.424258890761659,15,7,0.027514620489481775,3.386757353058654,0.25402328895752446,0.004159949323775434,1.1401613349798498,1.0325800159860044,6.245884201421599e-08
20,2400,16,0.1,0.06373811001567851,0.0040625466683707374,0.2733306941780932,0.004191501580343227,3.4115712420318154,15,7,0.02711907575022743,3.386757353058654,0.25402328895752446,0.004159949323775434,1.076006437440455,1.0075847694555944,2.768230897246958e-08
20,2400,17,0.1,0.05869003604437622,0.00344452033089018,0.24547797444302838,0.0034936581993133633,3.4399801509747925,15,7,0.02427043624670262,3.386757353058654,0.25402328895752446,0.004159949323775434,0.9663601138715869,0.8398319131788445,1.2392589685250024e-07
20,2400,18,0.1,0.06729421433400633,0.004528511282831183,0.2627741736938052,0.004495622325127299,3.3703405151569705,15,7,0.02617342009246315,3.386757353058654,0.25402328895752446,0.004159949323775434,1.0344491435103966,1.0806916082927709,1.261734339024715e-08
20,2400,19,0.1,0.06675630775369078,0.004456404624905475,0.27886577608433244,0.0046958875772922445,3.3762823209919697,15,7,0.03047711357374177,3.386757353058654,0.25402328895752446,0.004159949323775434,1.0977961006203723,1.1288328803559584,5.10666644967751e-09
20,4800,0,0.1,0.06331846537703269,0.004009228057702487,0.280437256055458,0.00408518292575908,3.7057883933756846,15,8,0.01799276207372674,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.1039824624204053,0.9766679016994643,5.150153995004997e-08
20,4800,1,0.1,0.06142130847112957,0.0037725771343056526,0.17531293909510173,0.003932962716503937,3.5321888299086517,15,8,0.017288320575659065,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.690145143047951,0.9402757510733452,3.67708577399614e-07
20,4800,2,0.1,0.061128567635961334,0.0037367017812242995,0.23240316701260844,0.003673152708625607,3.6723572297524645,15,8,0.017338240587554992,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9148892133723567,0.878161495764227,5.879464916877866e-09
20,4800,3,0.1,0.0612528080310377,0.0037519064916871564,0.158400841903824,0.003590216420045597,3.528163039229618,15,8,0.016172898256017258,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.6235681876015329,0.8583334458545333,3.9362985177701117e-07
20,4800,4,0.1,0.06925563547932805,0.004796343045645562,0.28970455118458255,0.00493786056893631,3.641681578921601,15,8,0.019361923366356837,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.140464531317144,1.1805223923605421,4.256228487559935e-09
20,4800,5,0.1,0.06456746688871066,0.004168957780424748,0.24637043861413602,0.004241433637546042,3.6376397187513843,15,8,0.018403333697433,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9698734302087235,1.0140236474747073,7.095995442309893e-09
20,4800,6,0.1,0.06478112337957746,0.004196593946320038,0.24831671513854137,0.00417025354516872,3.6476745267875104,15,8,0.017423480369440827,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9775352337086806,0.997006218211851,1.3839009441039178e-09
20,4800,7,0.1,0.06621628449437177,0.004384596332239579,0.2744240586527654,0.004262173770158922,3.6794934051369075,15,8,0.01922970076012083,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.0803106273403624,1.0189821088626332,1.1909438162917025e-08
