family,d,density,n_eff,n_train,seed,structure,G,fits,time,rmse
pairwise,10,120,5,600,3,pairwise,3,8,0.021643643000061275,0.006861927110466578
pairwise,10,120,5,600,4,pairwise,3,8,0.021479958999861992,0.006901840234517706
pairwise,10,180,5,900,0,pairwise,3,9,0.031297248999635485,0.00518863070862325
pairwise,10,180,5,900,1,pairwise,3,9,0.03196041999990484,0.006353512793487336
pairwise,10,180,5,900,2,pairwise,3,9,0.03209969599993201,0.006183112591150608
pairwise,10,180,5,900,3,pairwise,3,9,0.03209832899983667,0.005359513064364308
pairwise,10,180,5,900,4,pairwise,3,9,0.032416870999895764,0.0061005798429528794
pairwise,10,240,5,1200,0,pairwise,3,9,0.04048934599995846,0.004667481441344195
pairwise,10,240,5,1200,1,pairwise,3,9,0.040043582999715,0.005941949368468165
pairwise,10,240,5,1200,2,pairwise,3,9,0.03985358099998848,0.0049983088660415596
pairwise,10,240,5,1200,3,pairwise,3,9,0.040828668999893125,0.0046689723524259066
pairwise,10,240,5,1200,4,pairwise,3,9,0.04278038900019965,0.005115457521005233
pairwise,10,360,5,1800,0,pairwise,3,9,0.05819852100012213,0.0041227805362632555
pairwise,10,360,5,1800,1,pairwise,3,9,0.07069860799992966,0.005128794838166615
pairwise,10,360,5,1800,2,pairwise,3,9,0.05891452500009109,0.004210288537944018
pairwise,10,360,5,1800,3,pairwise,3,9,0.07037201499997536,0.004156399495731005
pairwise,10,360,5,1800,4,pairwise,3,9,0.05868189700004223,0.00483560291073243
pairwise,10,480,5,2400,0,pairwise,3,9,0.08318707500029632,0.0038474673478615753
pairwise,10,480,5,2400,1,pairwise,3,11,0.12332038900012776,0.004626672403925317
pairwise,10,480,5,2400,2,pairwise,3,10,0.09845802299969364,0.004200501515071973
pairwise,10,480,5,2400,3,pairwise,3,9,0.09899528000005375,0.003892179183400748
pairwise,10,480,5,2400,4,pairwise,3,10,0.09959000800017748,0.00457700437106683
pairwise,10,720,5,3600,0,pairwise,5,12,0.241000503000123,0.002626349283864062
pairwise,10,720,5,3600,1,pairwise,5,12,0.2062829530000272,0.0033254408378739194
pairwise,10,720,5,3600,2,pairwise,5,13,0.25467402599997513,0.002898809717391095
pairwise,10,720,5,3600,3,pairwise,5,12,0.20897929200009457,0.002706101803439677
pairwise,10,720,5,3600,4,pairwise,5,13,0.21478130600007717,0.003058867181496402
pairwise,20,60,10,600,0,pairwise,1,7,0.04392670700008239,0.03237743872251583
pairwise,20,60,10,600,1,pairwise,1,7,0.04433515700020507,0.032957514407010835
pairwise,20,60,10,600,2,pairwise,1,7,0.045398197999929835,0.03266748841240106
pairwise,20,60,10,600,3,pairwise,1,7,0.04423830799987627,0.03374304424450332
pairwise,20,60,10,600,4,pairwise,1,7,0.03629884999963906,0.031370002160390605
pairwise,20,90,10,900,0,pairwise,1,7,0.054402750999997807,0.02916210796812808
pairwise,20,90,10,900,1,pairwise,1,7,0.04522546299995156,0.031012407238161253
pairwise,20,90,10,900,2,pairwise,1,7,0.05549414000006436,0.031208478864001847
pairwise,20,90,10,900,3,pairwise,1,7,0.045106571999895095,0.03148961406383916
pairwise,20,90,10,900,4,pairwise,1,7,0.055311845000233006,0.030973979051064214
pairwise,20,120,10,1200,0,pairwise,3,8,0.07001508700022896,0.006513703566463206
pairwise,20,120,10,1200,1,pairwise,3,8,0.08554594099996393,0.007464483270707129
pairwise,20,120,10,1200,2,pairwise,3,8,0.07066289600015807,0.007227013716244855
pairwise,20,120,10,1200,3,pairwise,3,8,0.08534512599999289,0.007071092331285164
pairwise,20,120,10,1200,4,pairwise,3,8,0.07060058400020353,0.006667675571705453
pairwise,20,180,10,1800,0,pairwise,3,9,0.12111952499981271,0.005448758985921302
pairwise,20,180,10,1800,1,pairwise,3,9,0.14340681900011987,0.006062997195988308
pairwise,20,180,10,1800,2,pairwise,3,9,0.12139523500036375,0.005645633837655271
pairwise,20,180,10,1800,3,pairwise,3,9,0.1439551879998362,0.005461472056906894
