d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
10,240,4,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00792168048272389,0.0062865732466906715,1.2600951538891174
10,240,4,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00792168048272389,0.0062865732466906715,1.2600951538891174
10,240,4,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00792168048272389,0.0062865732466906715,1.2600951538891174
10,240,4,0.05,5,5,5,0,0,1.0,1.0,1.0,0.0062865732466453805,0.0062865732466906715,0.9999999999927955
10,480,0,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00465678112033889,0.003909944814011266,1.191009423880189
10,480,0,0.01,5,8,5,3,0,0.625,1.0,0.7692307692307693,0.0043652929885406935,0.003909944814011266,1.1164589773486546
10,480,0,0.02,5,5,5,0,0,1.0,1.0,1.0,0.003909944814012584,0.003909944814011266,1.0000000000003373
10,480,0,0.05,5,5,5,0,0,1.0,1.0,1.0,0.003909944814012584,0.003909944814011266,1.0000000000003373
10,480,1,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.004918156838984273,0.004307198051609455,1.1418459936260703
10,480,1,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.004918156838984273,0.004307198051609455,1.1418459936260703
10,480,1,0.02,5,5,5,0,0,1.0,1.0,1.0,0.004307198051609001,0.004307198051609455,0.9999999999998945
10,480,1,0.05,5,5,5,0,0,1.0,1.0,1.0,0.004307198051609001,0.004307198051609455,0.9999999999998945
10,480,2,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.005194277745998937,0.004425078465403037,1.1738272635411542
10,480,2,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.005194277745998937,0.004425078465403037,1.1738272635411542
10,480,2,0.02,5,5,5,0,0,1.0,1.0,1.0,0.00442507846540744,0.004425078465403037,1.000000000000995
10,480,2,0.05,5,5,5,0,0,1.0,1.0,1.0,0.00442507846540744,0.004425078465403037,1.000000000000995
10,480,3,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.004454144931201364,0.0037795714315235077,1.178478833354379
10,480,3,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.004454144931201364,0.0037795714315235077,1.178478833354379
10,480,3,0.02,5,5,5,0,0,1.0,1.0,1.0,0.0037795714315232033,0.0037795714315235077,0.9999999999999194
