family,d,density,n_train,seed,kore_structure,kore_G,kore_fits,kore_time,kore_rmse,cv_structure,cv_G,cv_fits,cv_time,cv_rmse,gcv_structure,gcv_G,gcv_fits,gcv_time,gcv_rmse,aic_structure,aic_G,aic_fits,aic_time,aic_rmse,bic_structure,bic_G,bic_fits,bic_time,bic_rmse,cp_structure,cp_G,cp_fits,cp_time,cp_rmse,structure_correct_kore,structure_correct_cv,structure_correct_gcv,structure_correct_aic,structure_correct_bic,structure_correct_cp
additive,40,120,4800,0,additive,15,14,1.669783495000047,0.007350848626493903,additive,14,91,16.821569528000055,0.007417749808997685,additive,14,29,9.379162712999914,0.007417749808997685,additive,14,29,9.379162712999914,0.007417749808997685,additive,12,29,9.379162712999914,0.008360709894013227,additive,14,29,9.379162712999914,0.007417749808997685,1,1,1,1,1,1
additive,40,120,4800,1,additive,15,14,1.6236288139998578,0.008174590859611771,additive,14,91,16.657345748999887,0.008030181864434481,additive,14,29,9.318301222999708,0.008030181864434481,additive,15,29,9.318301222999708,0.008174590859609268,additive,12,29,9.318301222999708,0.008801612490304953,additive,14,29,9.318301222999708,0.008030181864434481,1,1,1,1,1,1
additive,40,120,4800,2,additive,15,14,1.6228100889998132,0.007722344580205569,additive,13,91,17.029994748999798,0.007905132615853568,additive,13,29,9.45445208000001,0.007905132615853568,additive,15,29,9.45445208000001,0.007722344580204682,additive,12,29,9.45445208000001,0.008631803311365193,additive,13,29,9.45445208000001,0.007905132615853568,1,1,1,1,1,1
additive,40,120,4800,3,additive,15,14,1.6720326640001986,0.007679380290726558,additive,14,91,16.741315028999907,0.007744329029800462,additive,14,29,9.217031416000282,0.007744329029800462,additive,14,29,9.217031416000282,0.007744329029800462,additive,12,29,9.217031416000282,0.008491488570691144,additive,14,29,9.217031416000282,0.007744329029800462,1,1,1,1,1,1
additive,40,120,4800,4,additive,15,14,1.5855467759997737,0.007359014134223978,additive,15,91,16.788195564000034,0.007359014134229445,additive,15,29,9.291890255999988,0.007359014134229445,additive,15,29,9.291890255999988,0.007359014134229445,additive,12,29,9.291890255999988,0.008233804430940902,additive,15,29,9.291890255999988,0.007359014134229445,1,1,1,1,1,1
pairwise,10,240,1200,0,pairwise,3,9,0.04392158200016638,0.00480081365422813,pairwise,3,91,0.5988843380000617,0.004800813654231944,pairwise,3,29,0.34533820199976617,0.004800813654231944,pairwise,5,29,0.34533820199976617,0.004975853595943885,pairwise,3,29,0.34533820199976617,0.004800813654231944,pairwise,3,29,0.34533820199976617,0.004800813654231944,1,1,1,1,1,1
pairwise,10,240,1200,1,pairwise,3,9,0.04323253900020063,0.004463604919737897,pairwise,3,91,0.5879459759999008,0.004463604919724492,pairwise,3,29,0.33108907900032136,0.004463604919724492,pairwise,5,29,0.33108907900032136,0.004983624068024151,pairwise,3,29,0.33108907900032136,0.004463604919724492,pairwise,3,29,0.33108907900032136,0.004463604919724492,1,1,1,1,1,1
pairwise,10,240,1200,2,pairwise,3,9,0.048278341999775876,0.004766481782040904,pairwise,3,91,0.5903142550000666,0.004766481782038216,pairwise,3,29,0.33448016500005906,0.004766481782038216,pairwise,5,29,0.33448016500005906,0.005104103607172903,pairwise,3,29,0.33448016500005906,0.004766481782038216,pairwise,3,29,0.33448016500005906,0.004766481782038216,1,1,1,1,1,1
pairwise,10,240,1200,3,pairwise,3,9,0.04905594100000599,0.005118611601131036,pairwise,3,91,0.5930973250001443,0.0051186116011001665,pairwise,3,29,0.33391014400012864,0.0051186116011001665,pairwise,3,29,0.33391014400012864,0.0051186116011001665,pairwise,3,29,0.33391014400012864,0.0051186116011001665,pairwise,3,29,0.33391014400012864,0.0051186116011001665,1,1,1,1,1,1
pairwise,10,240,1200,4,pairwise,3,9,0.042228981999869575,0.004578532880853656,pairwise,3,91,0.571926645000076,0.004578532880859395,pairwise,5,29,0.3340360709999004,0.004913508102494235,pairwise,5,29,0.3340360709999004,0.004913508102494235,pairwise,3,29,0.3340360709999004,0.004578532880859395,pairwise,5,29,0.3340360709999004,0.004913508102494235,1,1,1,1,1,1
