method,dataset,rmse_median,rmse_iqr_lo,rmse_iqr_hi,r2_median,r2_iqr_lo,r2_iqr_hi,mae_median,mae_iqr_lo,mae_iqr_hi,nrmse_median,nrmse_iqr_lo,nrmse_iqr_hi,cnl_median,cnl_iqr_lo,cnl_iqr_hi,fit_time_median,fit_time_total,n_fits_median,used_defaults_frac,used_constant_predictor_frac,family,n_seeds
gcv_spline,QSAR_fish_toxicity,0.9093336725307072,0.855555150869122,0.950807582815231,0.5943808137038293,0.5487617635091536,0.6042510932368351,0.6758826549816578,0.6655779283983898,0.682717119293183,0.6151194487108308,0.5806704262904677,0.6579311135862235,0.014910795696576594,0.0,0.033052166896017914,0.074610150000808,0.3676703789988094,22.0,0.0,0.0,spline,5
gcv_spline,airfoil_self_noise,3.987221852386097,3.94539155385225,3.996747958514643,0.676031923253913,0.6456876493990273,0.6795922753835703,2.33934200196049,2.17899965968804,2.374828609231906,0.5768236936242919,0.5736607128130561,0.5806522644786736,0.16114111955285598,0.13123691655848202,0.23163621697142583,0.1038644199998088,0.5216609300005072,25.0,0.0,0.0,spline,5
gcv_spline,abalone,2.21517678336648,2.1744111472641525,2.217828571492719,0.5411080610888853,0.5349169710768487,0.5726877121696574,1.5682565359273786,1.5652369944545417,1.6070160209353117,0.685215113455336,0.6673382115817575,0.6880646090774807,0.004294178570635027,0.0,0.016591734083046275,0.2901058299994474,1.4845344879995537,22.0,0.0,0.0,spline,5
gcv_spline,physiochemical_protein,5.0656388099869165,5.045525645412683,5.321675747882993,0.3039422305398502,0.2623372844148778,0.3352820288994702,4.100860625063448,4.099739457200812,4.244449541847785,0.8237060210857385,0.8180954227570497,0.8628171177528168,0.0,0.0,0.003518079360333153,0.2357282000011764,1.1761701979994539,22.0,0.0,0.0,spline,5
gcv_spline,grid_stability,0.0170003892180946,0.0169727104703175,0.0177499166616806,0.7673989659262678,0.761871565572475,0.7808194714003553,0.0136292139228067,0.0133787429255751,0.0139613436254301,0.4653844584435094,0.4614580152238227,0.4884495420099871,0.10142444970019586,0.09788649672317497,0.10299815369787511,0.3631884890000947,1.8133577559983678,21.0,0.0,0.0,spline,5
gcv_spline,red_wine,0.671593016299318,0.6645974154133956,0.700869088604773,0.3333014725864305,0.2645133148128179,0.3386698864412782,0.5162427697719136,0.5161696902321999,0.5238566138105581,0.8358697104198449,0.8258595160099296,0.871406307483885,0.0,0.0,0.0,0.2169701789989631,1.0873526870000203,21.0,0.0,0.0,spline,5
gcv_spline,naval_propulsion_plant,3.469440180341061e-05,3.4300805474383244e-05,3.554644182693804e-05,0.9999944773913096,0.999994032440232,0.999994640517332,1.906308168208226e-05,1.855398837755517e-05,1.947526361751173e-05,0.0023574661509868,0.0023331019853845,0.0024066720674793,0.10620266161854978,0.10620119492747712,0.1063422522356441,0.4915956189997814,2.4444614249987353,21.0,0.0,0.0,spline,5
gcv_spline,auction_verification,5383.4808082280215,5254.917502780196,5453.505906244923,0.7474323438999781,0.7390592577044238,0.750496558112979,4107.079232571455,4082.515041979217,4151.526457134369,0.5270639333711519,0.5076374754662275,0.527593017233984,0.049307239254129116,0.04630080942607652,0.05098525408289605,0.5851560979990609,2.931080952001139,21.0,0.0,0.0,spline,5
gcv_spline,concrete_compressive_strength,6.7672452268766925,5.656974854378985,6.95305050407387,0.835440532939191,0.8239295948467817,0.8893328357990232,4.2266788722658175,4.152331738062853,4.273680782081168,0.4019481814315894,0.3405571149916983,0.4192377251278883,0.2073888609484146,0.18810644723674202,0.22024669012554932,0.0993102190004719,0.5079598769971196,21.0,0.0,0.0,spline,5
gcv_spline,space_ga,0.1176105408188129,0.1149229665122285,1.9943265392540888,0.6413522642941346,-81.62355740652669,0.6673474137390012,0.0847606314282406,0.0837636744687459,0.1685468826926442,0.5778287290346894,0.5665829921451546,10.094679918160276,0.04139841540993628,0.0,0.08145183102346139,0.2081599499997537,1.042511887000728,25.0,0.0,0.0,spline,5
gcv_spline,miami_housing,170929.05654497616,143365.25012505724,6109005.367328423,0.7384466231482781,-372.1076538996209,0.785237690957165,91592.19991196538,88797.32272286207,472777.5911552412,0.5403148339740406,0.4500601694774622,19.03732434056912,0.0405086219898519,0.0,0.0643080267838855,0.5817267380007252,2.9121585539978696,21.0,0.0,0.0,spline,5
gcv_spline,kin8nm,0.1832443309411901,0.1719903673302169,0.184338591227154,0.5145047331070725,0.4734544913109715,0.5819920471610196,0.1351051009265267,0.1301609584190157,0.1416780228532328,0.6902002574260744,0.6577491465046207,0.7021273461766517,0.07381416110462723,0.035770359546596416,0.08837942330908226,0.2391170700011571,1.1871784800005114,23.0,0.0,0.0,spline,5
gcv_spline,cars,2962.464435659032,2903.2452942498585,3022.2585534000523,0.91576380629016,0.9135514600397336,0.9187889856103264,2080.270130128442,2049.585292659762,2164.018294033489,0.3025658506428528,0.2938912187307307,0.3066287855947556,0.001452930040390868,0.0007581904292545559,0.0036676215934588387,0.4838647290016524,2.4046726540000236,21.0,0.0,0.0,spline,5
