dataset,method,family,seed,n_total,n_train,n_test,d,host,pid,rss_start_mb,rmse_test,mae_test,r2_test,nrmse_test,n_fits,fit_time_s,best_hp,used_defaults,used_constant_predictor,error,rss_peak_mb,rss_end_mb,rss_advisory_exceeded
diamonds,xgboost,tree,4,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,391172,352.58203125,715.5606170244251,371.9490891723633,0.9642534663387636,0.1811006770183954,67,23.3698111220001,"{'max_depth': 5, 'learning_rate': 0.016860134758570372, 'subsample': 0.9752955749271988, 'colsample_bytree': 0.695847191758043, 'colsample_bylevel': 0.6416436678132247, 'min_child_weight': 0.00036776190385485693, 'reg_alpha': 1.1996870593501883, 'reg_lambda': 1.251869102461688, 'gamma': 0.0013785246208706404}",False,False,,408.1328125,408.359375,False
fifa,xgboost,tree,2,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,391165,349.78125,10740.971793193792,4980.398951660156,0.7162673539508669,0.5119834572732552,52,24.379273153000213,"{'max_depth': 1, 'learning_rate': 0.01747625116963963, 'subsample': 0.5041539777037097, 'colsample_bytree': 0.8968057160451411, 'colsample_bylevel': 0.6760620356597301, 'min_child_weight': 2.1729168168882433e-05, 'reg_alpha': 2.2576828601767627e-06, 'reg_lambda': 1.6935088173897295e-06, 'gamma': 2.4029839755994227e-05}",False,False,,419.921875,419.921875,False
naval_propulsion_plant,xgboost,tree,4,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,391228,351.40234375,0.0021684428533193,0.0013375377016067,0.97842645937028,0.1473445386381325,82,24.731036250000216,"{'max_depth': 5, 'learning_rate': 0.07399299542336708, 'subsample': 0.5249470491264052, 'colsample_bytree': 0.9462533989914356, 'colsample_bylevel': 0.9507020625787524, 'min_child_weight': 1.457982889241945, 'reg_alpha': 4.759006487825027e-06, 'reg_lambda': 2.3127862898267857e-06, 'gamma': 1.6360591885000138e-07}",False,False,,368.42578125,365.5703125,False
diamonds,xgboost,tree,3,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,391183,353.8046875,708.6503457419791,400.29105517578125,0.9662442930116236,0.1801067490234678,82,25.53160352299983,"{'max_depth': 3, 'learning_rate': 0.040472220079836564, 'subsample': 0.9044541415086127, 'colsample_bytree': 0.7511878632334577, 'colsample_bylevel': 0.5944704662829723, 'min_child_weight': 1.0270951006294075e-05, 'reg_alpha': 7.317808431981343e-06, 'reg_lambda': 2.749504674998808, 'gamma': 3.5804738195727305e-07}",False,False,,391.9296875,391.9296875,False
Moneyball,xgboost,tree,0,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,391217,350.40234375,21.937876659524875,17.828879167193826,0.945896705769014,0.2416693989541359,76,26.09471294800005,"{'max_depth': 4, 'learning_rate': 0.01344867982136217, 'subsample': 0.535585139426119, 'colsample_bytree': 0.809948361477452, 'colsample_bylevel': 0.5120727684338134, 'min_child_weight': 0.003092088515453517, 'reg_alpha': 5.097329309296054e-06, 'reg_lambda': 0.010397480301493216, 'gamma': 0.0026160605256259684}",False,False,,414.24609375,403.43359375,False
video_transcoding,xgboost,tree,1,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,391205,351.67578125,4.241968661475065,1.636522702639133,0.9143071152233824,0.2852076505087747,49,27.789186563999465,"{'max_depth': 4, 'learning_rate': 0.06540941934775155, 'subsample': 0.8797159839215601, 'colsample_bytree': 0.9705047124228734, 'colsample_bylevel': 0.9678895197924087, 'min_child_weight': 0.0005137505994085186, 'reg_alpha': 7.055816102436439e-05, 'reg_lambda': 0.019968912285665864, 'gamma': 0.0001884337123134749}",False,False,,414.234375,414.234375,False
fps_benchmark,xgboost,tree,4,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,391164,353.5625,4.119803979044677,2.9970561401367184,0.9944223850557014,0.0773408205155503,61,27.805362373999746,"{'max_depth': 2, 'learning_rate': 0.3020938723657529, 'subsample': 0.942318210439871, 'colsample_bytree': 0.7124655143341418, 'colsample_bylevel': 0.8025897864497505, 'min_child_weight': 1.1582226115434449, 'reg_alpha': 0.1269975239601896, 'reg_lambda': 0.006504872124332756, 'gamma': 0.002633628352002428}",False,False,,375.1875,375.1875,False
fps_benchmark,xgboost,tree,1,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,391163,353.23828125,4.533246206001159,3.046182423400879,0.991705187819086,0.0831784370455936,67,28.004836551999688,"{'max_depth': 3, 'learning_rate': 0.08764517547699852, 'subsample': 0.7425534284941749, 'colsample_bytree': 0.6947811321480216, 'colsample_bylevel': 0.9838770888991439, 'min_child_weight': 9.064024188792084e-06, 'reg_alpha': 0.6958982162929591, 'reg_lambda': 0.04592005659192133, 'gamma': 0.6355770788373072}",False,False,,374.5546875,374.5546875,False
diamonds,xgboost,tree,0,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,391193,352.43359375,769.1577466814337,422.8947191162109,0.9653916380294024,0.199187282625507,67,28.538223058000767,"{'max_depth': 4, 'learning_rate': 0.05844864804469479, 'subsample': 0.8846814769968196, 'colsample_bytree': 0.8934528675023495, 'colsample_bylevel': 0.5102747680502644, 'min_child_weight': 1.615644421065799, 'reg_alpha': 5.851613337753003e-07, 'reg_lambda': 0.010357642315595833, 'gamma': 1.6527506486640382}",False,False,,403.578125,403.578125,False
miami_housing,xgboost,tree,4,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,391224,353.6328125,103259.10548795562,54696.552109375,0.9155571469777438,0.3326180880313086,58,31.643314742000257,"{'max_depth': 3, 'learning_rate': 0.029378854895864403, 'subsample': 0.7452889551990883, 'colsample_bytree': 0.9982833701703865, 'colsample_bylevel': 0.815957880237355, 'min_child_weight': 6.611621359028239e-07, 'reg_alpha': 0.08502561317193093, 'reg_lambda': 4.230899753130585, 'gamma': 3.0417438010784446e-05}",False,False,,443.515625,443.515625,False
cpu_activity,xgboost,tree,3,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,391216,352.8515625,2.564573606217094,1.772949848216027,0.9838097308898188,0.133039773712565,46,31.98006591900048,"{'max_depth': 3, 'learning_rate': 0.018753383604524502, 'subsample': 0.7235525925601264, 'colsample_bytree': 0.8307882264304233, 'colsample_bylevel': 0.73567944550568, 'min_child_weight': 1.0761826891403005e-05, 'reg_alpha': 0.0001342106758714749, 'reg_lambda': 0.4951121320984875, 'gamma': 0.0007077722648500224}",False,False,,405.3125,395.89453125,False
kings_county,xgboost,tree,2,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,391174,351.34765625,110169.01334891967,68206.83696875,0.8949962087361131,0.3358506638888585,52,32.68025769299948,"{'max_depth': 3, 'learning_rate': 0.07050559781992943, 'subsample': 0.7645710471385195, 'colsample_bytree': 0.5672899726724667, 'colsample_bylevel': 0.7567890606328732, 'min_child_weight': 5.412698335066845e-06, 'reg_alpha': 0.15505624773162863, 'reg_lambda': 0.533420768197294, 'gamma': 0.0008220273202674606}",False,False,,453.22265625,453.22265625,False
grid_stability,xgboost,tree,1,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,391203,379.46875,0.0113345366870433,0.0083841128108984,0.9051523555721144,0.3119084646540253,61,21.94257865399959,"{'max_depth': 4, 'learning_rate': 0.09399142177650739, 'subsample': 0.6420809330505433, 'colsample_bytree': 0.8297998361290898, 'colsample_bylevel': 0.6444364181133972, 'min_child_weight': 4.0384760605701263e-07, 'reg_alpha': 1.6166678981763742e-06, 'reg_lambda': 5.479875830249146, 'gamma': 9.828758095516168e-06}",False,False,,381.78515625,377.01171875,False
fps_benchmark,xgboost,tree,0,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,391160,352.078125,4.924447940420216,3.514556382751464,0.9915226215528932,0.0917258131081332,79,34.65202574599971,"{'max_depth': 2, 'learning_rate': 0.21677212684022293, 'subsample': 0.5573443693926808, 'colsample_bytree': 0.805640490900728, 'colsample_bylevel': 0.8390640120942925, 'min_child_weight': 1.2443740449040262e-07, 'reg_alpha': 0.02401440788960384, 'reg_lambda': 0.016992339443686617, 'gamma': 0.01915857435679672}",False,False,,403.7421875,403.7421875,False
fps_benchmark,xgboost,tree,2,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,391177,350.0078125,4.296661683691945,2.847430337524414,0.9926453028627124,0.0788448781910343,73,35.09002733199941,"{'max_depth': 3, 'learning_rate': 0.19016752509444898, 'subsample': 0.8429571377066398, 'colsample_bytree': 0.5861723492280669, 'colsample_bylevel': 0.6832017478570908, 'min_child_weight': 1.8658300520583086e-05, 'reg_alpha': 1.9873505901401045, 'reg_lambda': 0.00885311375793977, 'gamma': 0.004994173154752722}",False,False,,414.28515625,414.28515625,False
fps_benchmark,xgboost,tree,3,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,391170,353.03515625,4.706228839168111,3.0007016220092773,0.993041653518407,0.0889063435153823,79,35.4697310090005,"{'max_depth': 3, 'learning_rate': 0.13320744655926253, 'subsample': 0.8208320198860004, 'colsample_bytree': 0.6959118451830123, 'colsample_bylevel': 0.6478926288681769, 'min_child_weight': 9.324540621288133e-06, 'reg_alpha': 2.068374367874226e-06, 'reg_lambda': 2.146995539053856e-06, 'gamma': 0.3087387089562092}",False,False,,406.97265625,406.97265625,False
abalone,xgboost,tree,4,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-50,391165,419.984375,2.2027394043856763,1.5289116640090945,0.5457162777558662,0.6803470794187122,70,11.517287871999542,"{'max_depth': 7, 'learning_rate': 0.010524722217231152, 'subsample': 0.685854806838748, 'colsample_bytree': 0.8187749368181401, 'colsample_bylevel': 0.8803888172200862, 'min_child_weight': 6.93625788456393e-05, 'reg_alpha': 2.9418089776988506e-07, 'reg_lambda': 7.3698023544814e-06, 'gamma': 4.361690447438584e-05}",False,False,,419.98828125,419.98828125,False
kings_county,xgboost,tree,4,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,391173,353.33203125,143965.54429604733,76084.5210625,0.8282358862788248,0.4415613212018389,55,36.68306170799952,"{'max_depth': 4, 'learning_rate': 0.014527514245213877, 'subsample': 0.5391794036374574, 'colsample_bytree': 0.9885958205096477, 'colsample_bylevel': 0.5572462905497165, 'min_child_weight': 0.005076037854585839, 'reg_alpha': 5.376350773793276e-05, 'reg_lambda': 1.1369171523234807, 'gamma': 1.3223704200354697e-07}",False,False,,430.56640625,430.56640625,False
fifa,xgboost,tree,4,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,391155,353.19921875,9476.775264556703,4210.11120690918,0.4888166984933824,0.4249629048940255,70,37.98352327799967,"{'max_depth': 4, 'learning_rate': 0.007668379117192657, 'subsample': 0.8186698686403031, 'colsample_bytree': 0.8650003174254185, 'colsample_bylevel': 0.9595513785191974, 'min_child_weight': 0.0008912911737287054, 'reg_alpha': 0.19673966547775665, 'reg_lambda': 0.42385708365984415, 'gamma': 0.05956730301789488}",False,False,,398.33203125,398.33203125,False
miami_housing,xgboost,tree,3,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,391229,353.59375,107906.0681261696,59742.2216953125,0.8835914496669846,0.3362646934670799,55,37.93457943799967,"{'max_depth': 3, 'learning_rate': 0.0223580642762053, 'subsample': 0.5706810844994146, 'colsample_bytree': 0.7849640884870976, 'colsample_bylevel': 0.6164765397641759, 'min_child_weight': 2.071742211909081e-05, 'reg_alpha': 2.733631676829632, 'reg_lambda': 0.0038524080900104434, 'gamma': 1.4887832479231944e-05}",False,False,,442.90625,385.69921875,False
fifa,xgboost,tree,1,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,391158,353.578125,8038.79073657609,3722.313157348633,0.7300406583502216,0.3664486349598965,70,38.31013856499976,"{'max_depth': 6, 'learning_rate': 0.0061134248547000955, 'subsample': 0.5232052465239314, 'colsample_bytree': 0.9468121155078887, 'colsample_bylevel': 0.825194022839283, 'min_child_weight': 8.829539706144842e-06, 'reg_alpha': 2.605075777277596e-07, 'reg_lambda': 5.845082065978191e-07, 'gamma': 0.0029130979807089675}",False,False,,390.36328125,389.28515625,False
cpu_activity,xgboost,tree,0,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,391209,351.62890625,2.600444204402205,1.8393589414544405,0.9851808479955516,0.1372604407468566,67,38.1673671360004,"{'max_depth': 4, 'learning_rate': 0.06018019322836304, 'subsample': 0.6491075828436988, 'colsample_bytree': 0.632396498730142, 'colsample_bylevel': 0.5161121076316982, 'min_child_weight': 0.00033684024162246594, 'reg_alpha': 0.006153962112662509, 'reg_lambda': 0.07453084979394065, 'gamma': 2.545681343430559}",False,False,,430.890625,413.76953125,False
abalone,xgboost,tree,3,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-50,391172,408.421875,2.218174527650663,1.5618788766860965,0.5160075487309305,0.6807694230785583,55,15.766076915999292,"{'max_depth': 10, 'learning_rate': 0.05460011097437867, 'subsample': 0.710067890091778, 'colsample_bytree': 0.8281398277988514, 'colsample_bylevel': 0.8254984630400978, 'min_child_weight': 31.569133455049204, 'reg_alpha': 4.582826440440137e-07, 'reg_lambda': 8.366420000543517e-07, 'gamma': 8.069420294177557e-07}",False,False,,447.515625,426.25390625,False
auction_verification,xgboost,tree,0,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-50,391207,370.90625,496.53605523895806,266.57835255236483,0.997940113260095,0.0486128316710729,46,19.943452511000032,"{'max_depth': 5, 'learning_rate': 0.1509540292902015, 'subsample': 0.628079190140811, 'colsample_bytree': 0.9412543483361494, 'colsample_bylevel': 0.94787661334239, 'min_child_weight': 2.4791746082054382e-06, 'reg_alpha': 1.802381955697313, 'reg_lambda': 2.968582887660397e-07, 'gamma': 5.093613561660854e-07}",False,False,,434.22265625,434.23828125,False
socmob,xgboost,tree,0,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-50,391163,374.6796875,7.381222159469753,3.587898308631225,0.9284297869204028,0.1691479724676838,52,12.236482195999995,"{'max_depth': 6, 'learning_rate': 0.041320652506371326, 'subsample': 0.6773964031619871, 'colsample_bytree': 0.9556625964678689, 'colsample_bylevel': 0.5214992095704903, 'min_child_weight': 5.787581484886455e-05, 'reg_alpha': 5.505425578455971e-06, 'reg_lambda': 0.027443330444086346, 'gamma': 5.4297614656947e-07}",False,False,,398.6484375,398.6484375,False
auction_verification,xgboost,tree,1,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-50,391171,382.41796875,595.7081067003253,342.2660943295586,0.9967542658157624,0.0575468138634199,58,20.94888985299985,"{'max_depth': 6, 'learning_rate': 0.021402474283878828, 'subsample': 0.5359347346619832, 'colsample_bytree': 0.9473078031917499, 'colsample_bylevel': 0.8461162140867119, 'min_child_weight': 9.527901308742454e-06, 'reg_alpha': 1.517452058929006e-07, 'reg_lambda': 0.03129384659521401, 'gamma': 0.2409028845586297}",False,False,,411.05078125,411.05078125,False
abalone,xgboost,tree,1,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-50,391196,383.18359375,2.2307612219114947,1.5761541290283203,0.5357406559191729,0.6892107547947455,94,17.819991448999644,"{'max_depth': 5, 'learning_rate': 0.01128221016699514, 'subsample': 0.7266215853803214, 'colsample_bytree': 0.8082550066269003, 'colsample_bylevel': 0.8288602648500404, 'min_child_weight': 2.4412995568407843e-06, 'reg_alpha': 2.2904937641481014, 'reg_lambda': 8.778421427692179e-05, 'gamma': 0.0037232876814333894}",False,False,,385.6953125,378.22265625,False
video_transcoding,xgboost,tree,4,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,391202,349.1484375,4.262442008626532,1.7278756785208509,0.909038705912504,0.2850019984249458,67,41.38263828900017,"{'max_depth': 5, 'learning_rate': 0.027201827232608878, 'subsample': 0.7245957990073144, 'colsample_bytree': 0.9434763936426708, 'colsample_bylevel': 0.8368317772312134, 'min_child_weight': 0.00030798200247815683, 'reg_alpha': 0.0002861083952428875, 'reg_lambda': 0.0015298010864979329, 'gamma': 9.519929805624986e-07}",False,False,,472.48828125,472.48828125,False
auction_verification,xgboost,tree,4,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-50,391213,396.21875,486.9533777873657,267.9534165901412,0.9978199072892808,0.0470099121652419,49,20.142657798999608,"{'max_depth': 6, 'learning_rate': 0.07912485024814711, 'subsample': 0.7007477217951364, 'colsample_bytree': 0.8249025545096711, 'colsample_bylevel': 0.6984500014508663, 'min_child_weight': 0.055146521126140026, 'reg_alpha': 0.11228549456866516, 'reg_lambda': 2.820857561953849e-06, 'gamma': 9.711291683333352e-05}",False,False,,410.31640625,410.31640625,False
socmob,xgboost,tree,4,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-50,391174,453.28515625,15.972365040187729,6.783559937757472,0.8746916427710127,0.4005901132038044,79,9.438330029999634,"{'max_depth': 6, 'learning_rate': 0.3073452121504399, 'subsample': 0.6047380275556021, 'colsample_bytree': 0.5076787955825721, 'colsample_bylevel': 0.6341217525522325, 'min_child_weight': 4.594865638971167e-05, 'reg_alpha': 7.425787711050485e-06, 'reg_lambda': 4.782995449073644, 'gamma': 2.462738420490111}",False,False,,453.2890625,453.2890625,False
socmob,xgboost,tree,1,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-50,391193,403.703125,11.061992763224149,5.1933198914439656,0.8667191729327588,0.2560469184438821,58,14.11916084099994,"{'max_depth': 5, 'learning_rate': 0.0706968051769776, 'subsample': 0.9461728755575453, 'colsample_bytree': 0.7509058299694402, 'colsample_bylevel': 0.5252590783189671, 'min_child_weight': 0.0002203743708715285, 'reg_alpha': 0.00021498737197711196, 'reg_lambda': 8.682247267294079e-07, 'gamma': 8.376702466765403e-06}",False,False,,403.70703125,403.70703125,False
naval_propulsion_plant,xgboost,tree,3,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,391192,352.33203125,0.0020740255782184,0.0013048063011169,0.9804051271439752,0.1410728735770865,61,43.82275355799993,"{'max_depth': 9, 'learning_rate': 0.036726898701302295, 'subsample': 0.52394196484276, 'colsample_bytree': 0.6907922534763054, 'colsample_bylevel': 0.9733399610131371, 'min_child_weight': 8.687913010014242, 'reg_alpha': 1.624986887704542e-06, 'reg_lambda': 2.7225725419956365e-05, 'gamma': 5.814832496167422e-07}",False,False,,397.5234375,377.265625,False
socmob,xgboost,tree,2,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-50,391224,443.515625,14.756118134375017,5.825041238454187,0.8940978347894474,0.3707720891117066,58,12.69254138299948,"{'max_depth': 4, 'learning_rate': 0.026781025151686066, 'subsample': 0.7726308981003583, 'colsample_bytree': 0.6463687967588811, 'colsample_bylevel': 0.9942323964547652, 'min_child_weight': 0.08267320834302716, 'reg_alpha': 3.143088162789487e-07, 'reg_lambda': 4.311600033109942e-05, 'gamma': 1.303713883630679}",False,False,,443.51953125,443.51953125,False
solar_flare,xgboost,tree,2,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-50,391174,453.28515625,0.625430340248754,0.3714806590681878,0.1314145748338745,0.7177320832097855,58,2.316961739999897,"{'max_depth': 1, 'learning_rate': 0.27088286311213616, 'subsample': 0.838540733743774, 'colsample_bytree': 0.8356146396139082, 'colsample_bylevel': 0.7240383950413578, 'min_child_weight': 6.680066058183902e-05, 'reg_alpha': 0.01641118738599825, 'reg_lambda': 9.180122751592165e-05, 'gamma': 2.92722010722433e-07}",False,False,,453.2890625,453.30078125,False
fifa,xgboost,tree,0,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,391157,343.20703125,8959.53496666314,3991.783464828491,0.7220053005345002,0.4135491780875183,64,45.41331307499968,"{'max_depth': 4, 'learning_rate': 0.03918794969203098, 'subsample': 0.5248864662264139, 'colsample_bytree': 0.8819240395721322, 'colsample_bylevel': 0.9251887691854148, 'min_child_weight': 1.9869482064579316e-06, 'reg_alpha': 0.15338511607198355, 'reg_lambda': 3.0343073933175924e-07, 'gamma': 3.038010707353571e-07}",False,False,,406.203125,406.42578125,False
solar_flare,xgboost,tree,4,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-50,391192,377.328125,0.706730245748954,0.3901712706434392,0.1985416940020657,0.8354405389833648,46,1.4247554270004912,"{'max_depth': 1, 'learning_rate': 0.7382821384626401, 'subsample': 0.7180733234398988, 'colsample_bytree': 0.9744886533907814, 'colsample_bylevel': 0.8931529929675305, 'min_child_weight': 8.953775350511982, 'reg_alpha': 2.5408232555931645e-06, 'reg_lambda': 4.3369451474498737e-07, 'gamma': 0.005590810478026481}",False,False,,377.33203125,377.34375,False
video_transcoding,xgboost,tree,3,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,391186,351.49609375,3.394677409425168,1.3772557046280502,0.9333143627406252,0.2236646840897569,76,46.25290653699994,"{'max_depth': 5, 'learning_rate': 0.012392926520325292, 'subsample': 0.7666612644623545, 'colsample_bytree': 0.8630581181114163, 'colsample_bylevel': 0.8249693102004946, 'min_child_weight': 0.021163736260709807, 'reg_alpha': 1.9512423094324724e-07, 'reg_lambda': 0.840947495141664, 'gamma': 0.000278391145818394}",False,False,,458.5546875,458.5546875,False
solar_flare,xgboost,tree,3,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-50,391193,403.703125,0.7623192204794187,0.3991976091377089,0.1948247760018782,0.9164799689312187,43,3.3657863610005734,"{'max_depth': 3, 'learning_rate': 0.004008808694409415, 'subsample': 0.9353268765703711, 'colsample_bytree': 0.6561888091957874, 'colsample_bylevel': 0.8334779055654531, 'min_child_weight': 18.22113993354146, 'reg_alpha': 0.0002867789482964336, 'reg_lambda': 0.0009719660822937164, 'gamma': 5.305297773992016e-05}",False,False,,403.70703125,403.70703125,False
cpu_activity,xgboost,tree,4,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,391231,351.921875,2.4492411239595304,1.716539222061634,0.9844212404371286,0.1261395846297662,46,46.29031522700007,"{'max_depth': 4, 'learning_rate': 0.07100097867471183, 'subsample': 0.5963103461784564, 'colsample_bytree': 0.9306879620584003, 'colsample_bylevel': 0.5486316365749954, 'min_child_weight': 0.35905990077671124, 'reg_alpha': 0.00307268199253314, 'reg_lambda': 1.740527451246285, 'gamma': 0.06796782080345702}",False,False,,426.1328125,426.1328125,False
naval_propulsion_plant,xgboost,tree,0,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,391212,352.41796875,0.0018451515889215,0.0012458787622451,0.9839206454659226,0.1249259999339022,100,47.56059314599952,"{'max_depth': 7, 'learning_rate': 0.020433128727673087, 'subsample': 0.8036118185664605, 'colsample_bytree': 0.9725931186574795, 'colsample_bylevel': 0.9405138877746351, 'min_child_weight': 10.377708635629885, 'reg_alpha': 4.2776063915206845e-05, 'reg_lambda': 1.4442965931011855e-07, 'gamma': 1.5097715399811238e-07}",False,False,,400.9921875,400.9921875,False
solar_flare,xgboost,tree,0,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-50,391202,472.61328125,0.6955992553998503,0.3897070032413874,0.1024475125133266,0.8104066646163484,58,6.1216461289996005,"{'max_depth': 4, 'learning_rate': 0.004457123752504276, 'subsample': 0.6297470727590204, 'colsample_bytree': 0.9859882673942396, 'colsample_bylevel': 0.7731488152264778, 'min_child_weight': 13.256893427145037, 'reg_alpha': 6.36005266570994e-07, 'reg_lambda': 0.014064658394344766, 'gamma': 0.47936029796808144}",False,False,,472.6171875,472.6171875,False
solar_flare,xgboost,tree,1,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-50,391213,410.3125,0.6468267628956637,0.4065365301984771,-0.0504579552317658,0.7364966750348738,67,6.252089196999805,"{'max_depth': 1, 'learning_rate': 0.0962700295910675, 'subsample': 0.5287895166667607, 'colsample_bytree': 0.9752202323596842, 'colsample_bylevel': 0.7408516301053193, 'min_child_weight': 0.3506277687922629, 'reg_alpha': 1.9861080395995467, 'reg_lambda': 1.2959596721855733, 'gamma': 1.410536586195341e-05}",False,False,,410.31640625,410.31640625,False
naval_propulsion_plant,xgboost,tree,1,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,391210,353.703125,0.0018697775173227,0.0011626828212738,0.983444356131203,0.1265781039132528,91,48.73362994600029,"{'max_depth': 8, 'learning_rate': 0.07958487568450709, 'subsample': 0.5547371042800745, 'colsample_bytree': 0.8853152263658933, 'colsample_bylevel': 0.8803524253407858, 'min_child_weight': 3.584676778766672, 'reg_alpha': 1.3521829297387819e-06, 'reg_lambda': 1.4870385207460062, 'gamma': 3.111164100332596e-07}",False,False,,408.40234375,387.47265625,False
socmob,xgboost,tree,3,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-50,391216,395.95703125,15.972351092469374,5.564052829480376,0.8013449227068982,0.3787702757606512,79,16.62712966900017,"{'max_depth': 5, 'learning_rate': 0.13999859813098112, 'subsample': 0.9482400402578492, 'colsample_bytree': 0.9620035536446576, 'colsample_bylevel': 0.8964444291393645, 'min_child_weight': 0.04183222017080209, 'reg_alpha': 0.0006593838756204406, 'reg_lambda': 0.01424580363141852, 'gamma': 0.038524316211971846}",False,False,,395.9609375,395.9609375,False
auction_verification,xgboost,tree,3,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-50,391168,381.171875,422.87690040077007,237.5411050627144,0.9983787772855442,0.0409107285545456,88,28.529326347999813,"{'max_depth': 6, 'learning_rate': 0.13805882709433695, 'subsample': 0.8154015619924653, 'colsample_bytree': 0.9615729291715538, 'colsample_bylevel': 0.8731983650978807, 'min_child_weight': 0.033341043557986345, 'reg_alpha': 3.2904931933985413, 'reg_lambda': 6.728383252836494e-05, 'gamma': 2.1032807059901217}",False,False,,427.421875,420.98046875,False
miami_housing,xgboost,tree,2,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,391219,353.8359375,92587.58204737613,50113.9951875,0.910427281267393,0.2870223747342172,58,50.29597608299992,"{'max_depth': 4, 'learning_rate': 0.015403245928973748, 'subsample': 0.5077049197688838, 'colsample_bytree': 0.7920550094886118, 'colsample_bylevel': 0.9710439009007201, 'min_child_weight': 1.163662117375709e-07, 'reg_alpha': 1.7116903516526691, 'reg_lambda': 1.031371154640187, 'gamma': 3.148857196139556}",False,False,,449.9453125,423.57421875,False
abalone,xgboost,tree,0,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-50,391233,384.39453125,2.2712548531456207,1.5322884654998778,0.4348510090499308,0.6886722472376849,73,28.767056515999684,"{'max_depth': 6, 'learning_rate': 0.003489557219113923, 'subsample': 0.541814531878039, 'colsample_bytree': 0.8312959676861603, 'colsample_bylevel': 0.6642136661413679, 'min_child_weight': 9.258788136216332e-07, 'reg_alpha': 0.0003377394583215677, 'reg_lambda': 0.00027838870505462007, 'gamma': 0.00903172841933934}",False,False,,406.9921875,406.9921875,False
video_transcoding,xgboost,tree,2,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,391191,350.015625,3.7939889757664895,1.5911377717638016,0.9440581872970464,0.262207279613657,94,51.62294800200016,"{'max_depth': 5, 'learning_rate': 0.10595895269724187, 'subsample': 0.6576152939882507, 'colsample_bytree': 0.9254007772756496, 'colsample_bylevel': 0.6345276629072898, 'min_child_weight': 1.6265863781125935, 'reg_alpha': 0.037792577911058556, 'reg_lambda': 3.5742982585387506, 'gamma': 0.003680140970391534}",False,False,,461.46484375,418.2109375,False
